         21.5x10.5PN              (215x105PN.dat)                              11/22/16                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
        86.8        0.43      0.7047      0.0548      0.0331      12.302      77.534      37.446                                                                          
        91.4        0.45      0.7242      0.0500      0.0310      11.498      72.469      34.171                                                                          
        96.0        0.47      0.7411      0.0452      0.0287      10.658      67.174      30.868                                                                          
       100.5        0.49      0.7546      0.0403      0.0263       9.769      61.569      27.500                                                                          
       105.1        0.52      0.7639      0.0352      0.0237       8.818      55.574      24.035                                                                          
       109.7        0.54      0.7642      0.0298      0.0210       7.785      49.064      20.343                                                                          
       114.2        0.56      0.7505      0.0241      0.0180       6.695      42.198      16.496                                                                          
       118.8        0.58      0.7105      0.0183      0.0150       5.566      35.082      12.484                                                                          
       123.4        0.61      0.6224      0.0123      0.0120       4.440      27.981       8.399                                                                          
       127.9        0.63      0.4403      0.0062      0.0088       3.273      20.630       4.224                                                                          
       132.5        0.65     -0.0025      0.0000      0.0056       2.095      13.205      -0.015                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      11000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0957      0.0549      27.133     155.460      79.129                                                                          
         5.0        0.02      0.0387      0.0954      0.0546      26.959     154.464      78.902                                                                          
         9.9        0.04      0.0770      0.0951      0.0547      27.028     154.858      78.633                                                                          
        14.9        0.07      0.1169      0.0947      0.0538      26.577     152.274      78.290                                                                          
        19.8        0.09      0.1553      0.0944      0.0538      26.574     152.260      77.998                                                                          
        24.8        0.11      0.1950      0.0939      0.0533      26.340     150.915      77.644                                                                          
        29.8        0.13      0.2351      0.0935      0.0528      26.088     149.475      77.257                                                                          
        34.7        0.15      0.2739      0.0929      0.0526      25.986     148.888      76.839                                                                          
        39.7        0.18      0.3135      0.0923      0.0521      25.768     147.641      76.303                                                                          
        44.7        0.20      0.3547      0.0912      0.0512      25.323     145.088      75.419                                                                          
        49.6        0.22      0.3965      0.0898      0.0501      24.767     141.904      74.212                                                                          
        54.6        0.24      0.4365      0.0875      0.0488      24.109     138.136      72.294                                                                          
        59.5        0.27      0.4718      0.0840      0.0473      23.382     133.971      69.470                                                                          
        64.5        0.29      0.5049      0.0804      0.0458      22.631     129.669      66.426                                                                          
        69.5        0.31      0.5336      0.0765      0.0444      21.962     125.836      63.267                                                                          
        74.4        0.33      0.5597      0.0726      0.0430      21.267     121.853      59.977                                                                          
        79.4        0.35      0.5836      0.0685      0.0416      20.549     117.735      56.645                                                                          
        84.4        0.38      0.6054      0.0644      0.0400      19.772     113.284      53.211                                                                          
        89.3        0.40      0.6249      0.0598      0.0381      18.851     108.009      49.460                                                                          
        94.3        0.42      0.6419      0.0550      0.0360      17.812     102.054      45.479                                                                          
        99.2        0.44      0.6563      0.0501      0.0338      16.690      95.629      41.392                                                                          
       104.2        0.46      0.6672      0.0451      0.0314      15.541      89.044      37.313                                                                          
       109.2        0.49      0.6737      0.0403      0.0291      14.388      82.438      33.298                                                                          
       114.1        0.51      0.6739      0.0356      0.0269      13.294      76.171      29.440                                                                          
       119.1        0.53      0.6618      0.0310      0.0249      12.312      70.543      25.658                                                                          
       124.1        0.55      0.6305      0.0256      0.0225      11.124      63.736      21.202                                                                          
       129.0        0.58      0.5746      0.0197      0.0197       9.748      55.851      16.281                                                                          
       134.0        0.60      0.4828      0.0134      0.0166       8.184      46.891      11.060                                                                          
       138.9        0.62      0.3216      0.0068      0.0131       6.481      37.135       5.626                                                                          
       143.9        0.64      0.0012      0.0000      0.0096       4.732      27.112       0.015                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
